id_player,first_activity_year,Won
G299,1994,0
AA36,2009,0
PD63,No data,No data
D960,2009,0
MG24,2011,0
BD17,2005,0
CG09,No data,No data
KC55,2009,0
MP15,No data,No data
PJ93,No data,No data
A818,2006,0
P395,1998,45
Q935,2007,0
AF78,2014,0
MW73,2015,0
F811,2010,22
GB09,2007,0
DG00,No data,No data
KD33,2010,0
BC71,2004,0
KD27,2010,0
L496,1971,0
C0I8,2020,0
BC65,2004,31
PC39,2006,0
FA03,1947,1
H828,2005,0
MW67,2015,0
V096,1985,3
BT54,2014,0
MP01,2012,29
H196,No data,No data
I288,2010,0
P381,1995,0
D974,No data,No data
MG30,2007,0
S688,1995,37
BD03,2004,0
D0I1,2021,0
S850,No data,No data
KC41,2009,0
D747,No data,No data
BJ30,2014,0
MI03,2007,0
C028,1984,102
S663,1996,0
I263,2008,0
W405,2001,0
GE90,2012,0
G528,2001,0
O174,1998,0
A159,No data,No data
W363,No data,No data
AF87,No data,No data
F636,2007,0
C996,2006,0
S105,No data,No data
B450,1991,0
BM56,2013,0
MN65,2011,0
D021,1981,76
C0G3,No data,No data
K312,No data,No data
KJ00,2015,5
J018,1986,47
S111,1973,157
M777,1998,0
B444,No data,No data
BM42,2013,0
MN71,2011,0
C0F7,2018,0
D035,1978,0
K306,1995,0
W377,2001,0
P418,1997,0
F622,2005,0
AF93,2015,0
I277,2008,0
N518,2006,0
D753,2005,1
K460,1998,0
BJ24,No data,No data
MI17,2007,0
B322,1987,17
S677,1996,86
P356,No data,No data
N530,No data,No data
PD88,2008,0
V727,2009,0
G272,1978,0
PJ50,1914,50
K448,1999,35
D0D6,2018,0
S887,1998,7
KC96,2011,0
L327,1996,2
M039,1970,363
S139,1963,58
J030,1977,14
CN74,2017,0
MN59,2011,0
C772,2002,0
L441,1998,0
M987,2000,0
PM36,2015,0
H627,No data,No data
O148,1997,0
V041,1981,5
BT83,No data,No data
N256,1994,1
A165,1988,4
PM22,2015,0
G500,1998,0
H633,2001,0
V055,1986,3
BT97,No data,No data
N242,No data,No data
P424,No data,No data
B478,1992,0
CN60,No data,No data
C766,2001,0
D009,1981,9
M993,No data,No data
R555,2000,0
S893,1999,1
D0E2,2018,0
BJ18,2010,0
L333,1995,21
KC82,No data,No data
T124,1986,0
J742,2015,0
F178,1987,0
HH53,2018,0
P342,1995,0
N524,2005,0
V733,2012,0
G266,1993,0
H155,1986,2
F608,No data,No data
P432,1998,0
N254,1993,337
A167,1988,0
BT81,2014,0
PM34,2015,0
C770,2001,0
L443,1998,0
BM68,2013,0
CN76,2015,0
J032,1969,120
B308,1987,2
CI10,2013,0
S885,1998,1
D0D4,2018,0
C016,1982,10
L325,No data,No data
D779,No data,No data
PJ52,1912,0
V725,2008,0
N532,2006,0
HH45,2015,0
P354,No data,No data
O638,2016,0
V731,2009,0
N526,No data,No data
HH51,2020,0
I249,2008,0
P340,1993,1
S649,1994,8
J740,2015,0
C002,1978,43
MI29,2008,0
D0E0,2021,0
S891,1998,0
KC80,2009,0
L331,No data,No data
